,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd
0,USGS,08057000,1096,2013-02-15 10:58:15,CST,Yes,LPH,USGS,15.93,618,Good,0.02,0.4,DebrisLight,NONE
1,USGS,08057000,1097,2013-04-22 11:52:32,CDT,Yes,LPH,USGS,15.65,526,Good,0.0,0.4,DebrisLight,NONE
2,USGS,08057000,1098,2013-05-16 15:12:05,CDT,Yes,LPH/REB,USGS,26.44,7450,Fair,-0.03,0.3,,NONE
3,USGS,08057000,1099,2013-07-05 12:45:08,CDT,Yes,LPH/ADF,USGS,15.12,339,Good,0.01,0.4,DebrisLight,NONE
4,USGS,08057000,1100,2013-09-10 13:44:02,CDT,Yes,LPH,USGS,15.16,356,Good,-0.01,0.5,DebrisLight,NONE
5,USGS,08057000,1101,2013-10-22 15:10:01,CDT,Yes,LPH,USGS,15.06,326,Good,-0.03,0.3,DebrisLight,NONE
6,USGS,08057000,1102,2014-01-16 12:44:48,CST,Yes,LPH/DAB,USGS,15.35,423,Good,0.0,0.3,DebrisLight,NONE
7,USGS,08057000,1103,2014-02-13 16:32:18,CST,Yes,LPH,USGS,15.25,388,Good,0.0,0.3,Clear,NONE
8,USGS,08057000,1104,2014-04-07 10:33:26,CDT,Yes,LPH/JTS,USGS,19.16,2330,Good,-0.03,0.3,DebrisModerate,NONE
9,USGS,08057000,1105,2014-06-24 12:29:54,CDT,Yes,LPH/JAT,USGS,19.8,2740,Good,-0.11,0.4,DebrisModerate,NONE
10,USGS,08057000,1106,2014-08-18 15:07:03,CDT,Yes,LPH,USGS,21.88,3990,Good,-0.07,0.2,DebrisModerate,NONE
11,USGS,08057000,1107,2014-10-17 12:15:39,CDT,Yes,LPH,USGS,15.39,409,Good,0.0,0.2,Clear,NONE
12,USGS,08057000,1108,2014-12-05 10:40:23,CST,Yes,LPH,USGS,15.3,414,Good,-0.03,0.3,Clear,NONE
13,USGS,08057000,1109,2015-02-13 13:27:11,CST,Yes,LPH,USGS,15.42,425,Good,-0.01,0.3,Clear,NONE
14,USGS,08057000,1110,2015-05-11 13:21:26,CDT,Yes,LPH/BAC,USGS,35.93,16800,Poor,0.04,1.3,DebrisHeavy,NONE
15,USGS,08057000,1111,2015-05-30 10:42:28,CDT,Yes,LPH/BAC,USGS,40.39,40100,Good,-0.01,0.5,DebrisLight,NONE
16,USGS,08057000,1112,2015-08-27 14:56:00,CDT,Yes,LPH,USGS,25.74,7020,Good,-0.03,0.4,Clear,NONE
17,USGS,08057000,1113,2015-10-05 13:57:38,CDT,Yes,LPH/JAT,USGS,15.18,366,Fair,0.0,0.2,Clear,NONE
18,USGS,08057000,1114,2015-11-09 10:37:32,CST,Yes,LPH,USGS,27.01,6080,Good,0.0,0.2,DebrisHeavy,NONE
19,USGS,08057000,1115,2015-12-08 11:35:28,CST,Yes,LPH,USGS,26.78,6750,Fair,0.1,0.4,DebrisModerate,NONE
