KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
0,2470.968,0,750.112,750.112,0,684.041,77.242,49.288,62.709,798.47,94.29,611.138,451.724,168.482,36.324,185.018,144.764,0,297.715,0,0,2887.707,0,0,683.818,3
0,1021.895,0,439.497,439.497,0,0,0,147.38,31.884,0,94.348,658.53,525.335,93.222,36.143,611.441,57.295,0,28.819,891.577,414.799,0,0,0,920.742,1
391.536,2163.968,1942.496,238.815,238.815,0,0,468.672,190.723,43.525,490.494,0,1028.793,181.934,181.934,0,0,0,0,0,0,0,0,0,0,674.045,1
0,5048.313,0,933.728,933.728,0,0,58.168,276.188,70.097,0,294.872,1993.554,539.62,232.309,0,173.654,381.525,0,394.78,0,0,0,0,0,923.294,1
0,3481.878,1507.82,445.4,445.4,0,0,67.275,19.855,57.805,737.446,32.673,65.558,620.358,194.611,0,0,148.626,0,0,0,0,0,0,0,245.396,1
1255.638,2339.763,0,991.642,991.642,0,0,183.802,197.782,127.086,1611.228,62.436,1753.955,773.02,158.632,177.908,109.027,122.826,0,425.341,0,353.973,0,0,0,1060.799,1
0,2684.151,0,240.156,240.156,0,0,0,39.829,32.137,0,0,467.566,701.956,160.79,100.094,80.374,148.587,0,496.275,0,0,0,0,0,553.635,1
0,202.798,0,664.958,664.958,0,0,159.637,45.283,37.882,391.176,0,154.889,563.161,189.397,81.708,115.949,9.846,0,100.039,0,0,0,0,0,607.091,1
286.255,0,0,242.247,242.247,0,0,0,0,26.708,303.302,0,328.208,172.018,51.629,15.323,0,0,0,186.423,0,0,0,0,0,570.385,1
0,4961.799,1804.119,380.952,211.553,169.399,241.538,0,0,16.347,172.092,0,487.055,1037.653,192.382,0,757.155,295.636,0,189.936,0,0,0,246.592,886.501,694.791,3
330.147,2846.27,1748.218,747.399,747.399,0,263.37,487.307,67.68,22.384,1352.355,0,2207.255,656.91,188.84,41.625,5.878,159.527,0,394.79,0,0,0,0,0,1533.838,1
0,2297.374,0,762.885,762.885,0,561.29,239.85,70.3,49.352,505.392,155.788,612.643,560.349,161.234,0,411.088,117.404,0,0,0,598.185,981.029,0,0,812.503,1
0,5330.875,1137.909,1053.517,1053.517,0,0,212.845,96.89,16.031,168.898,0,795.609,363.461,60.429,0,0,310.744,0,17.794,0,0,0,0,0,403.426,1
8502.56,10195.32,0,1015.745,830.761,184.984,297.058,0,49.688,25.587,331.34,66.636,1984.993,4836.867,183.457,160.041,169.583,537.958,0,714.726,0,0,0,0,0,2914.144,1
0,5881.118,0,552.368,552.368,0,793.491,0,154.115,26.062,529.046,129.752,654.716,362.952,116.043,0,242.075,278.333,0,69.278,0,0,0,0,0,470.881,2
1301.407,1334.799,0,1078.193,830.188,248.004,0,0,29.711,14.517,168.28,0,181.035,1295.048,52.793,15.034,0,0,0,0,0,349.516,0,0,0,439.836,1
1.21,15.045,43.264,20.757,20.757,0,0,2.079,0,0.358,4.589,0.621,7.252,3.235,2.004,0,0.022,0.625,0,2.011,0,0,0,0,0,8.088,1
0,2505.49,0,832.382,832.382,0,0,0,103.847,50.515,0,0,299.807,287.885,181.734,80.782,139.462,107.934,0,0,0,0,0,0,0,401.489,1
0,947.483,0,1769.368,1027.438,371.543,0,115.394,94.454,95.563,1384.608,61.551,1153.596,1208.57,219.403,126.332,225.368,49.064,0,136.07,1074.601,0,0,0,0,973.441,1
0,0,0,485.666,485.666,0,250.471,0,0,14.477,0,0,434.441,0,0,0,0,0,0,88.362,165.9,0,0,0,0,600.317,3
717.361,3188.383,0,355.171,355.171,0,0,0,71.433,26.055,528.586,39.233,1249.677,233.871,193.112,15.966,202.903,158.858,0,79.217,593.025,0,0,0,0,903.976,1
